Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0021167,8.5198E-05,0.02981,0,0,0,1.604,0.0093722,-2.3907E-07,0.00039019,0.01924,1.5047E-06,0.024851,0,0,0,0,0,0,package://newtwo/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://newtwo/meshes/base_link.STL,,L2终改版-底盘_7-1;D435I-1;L2终改版-3;连接件终版-2;L2终改版-2;连接件终版-1;L2终改版-1;合页2-2;合页2-1;合页1-1;合页1-2;stop-1;风扇-4/风扇固定架-1;开关2-1;开关2-2;风扇-4/风扇-1;风扇-4/风扇-3,坐标系2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/L1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/L1_1.STL,,简化单腿 - 副本-3/简化L1-1;简化单腿 - 副本-3/简化L2-2,坐标系3,基准轴1,L1_1J,revolute,0.1409,0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
L1_2,0.053805,0.056399,-1.903E-06,0,0,0,0.048771,0.00029989,-3.6983E-05,1.2493E-09,3.8846E-05,1.0017E-08,0.00029741,0,0,0,0,0,0,package://newtwo/meshes/L1_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/L1_2.STL,,简化单腿 - 副本-3/简化L3-4,坐标系4,基准轴2,L1_2J,revolute,0,0,-0.06575,0,0,0,L1_1,1,0,0,100,3,-3,3,,,,,,,,
L1_3,-0.002999999999999,0.0622516966511232,-1.11022302462516E-16,0,0,0,0.0138735795889189,4.32018502506037E-05,-4.55469400514642E-21,7.95695145424148E-16,1.49204001297108E-06,1.85061222337895E-20,4.24796588963243E-05,0,0,0,0,0,0,package://newtwo/meshes/L1_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/L1_3.STL,,简化单腿 - 副本-3/简化L5-1,坐标系5,基准轴3,L1_3J,revolute,0.07025,0.216,0,0,0,0,L1_2,1,0,0,100,3,-3,3,,,,,,,,
L1_4,0,5.55111512312578E-17,0,0,0,0,0.0075440111588203,3.02095717120803E-06,6.23026349484505E-38,-3.28038503767837E-23,3.02095717120803E-06,-9.4039548065783E-38,3.02095717120803E-06,0,0,0,0,0,0,package://newtwo/meshes/L1_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/L1_4.STL,,简化单腿 - 副本-3/qiu1-1,坐标系22,,L1_4J,fixed,-0.003,0.196,0,0,0,0,L1_3,0,0,0,,,,,,,,,,,,
R1_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/R1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/R1_1.STL,,简化单腿-18/简化L1-1;简化单腿-18/简化L2-2,坐标系6,基准轴4,R1_1J,revolute,0.1409,-0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
R1_2,0.0538046935377517,-0.0563990041062734,1.90730046431553E-06,0,0,0,0.0487708538022157,0.000299889172144516,3.69830518373728E-05,-1.24927529973815E-09,3.88457597661671E-05,1.00173051764211E-08,0.000297413215550296,0,0,0,0,0,0,package://newtwo/meshes/R1_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R1_2.STL,,简化单腿-18/简化L3-4,坐标系7,基准轴5,R1_2J,revolute,0,0,-0.06575,0,0,0,R1_1,1,0,0,100,3,-3,3,,,,,,,,
R1_3,-0.00299999999997458,-0.0622516966511238,0,0,0,0,0.0138735795889189,4.32018502506036E-05,1.63940066433234E-20,-7.95689960581737E-16,1.49204001297108E-06,4.10563851693299E-21,4.24796588963242E-05,0,0,0,0,0,0,package://newtwo/meshes/R1_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newtwo/meshes/R1_3.STL,,简化单腿-18/简化L5-1,坐标系8,基准轴6,R1_3J,revolute,0.07025,-0.216,0,0,0,0,R1_2,1,0,0,100,3,-3,3,,,,,,,,
R1_4,0,0,-2.77555756156289E-17,0,0,0,0.0075440111588203,3.02095717120803E-06,1.28292706084425E-49,2.25685731808263E-35,3.02095717120803E-06,-9.4039548065783E-38,3.02095717120803E-06,0,0,0,0,0,0,package://newtwo/meshes/R1_4.STL,1,1,1,1,0,0,0,0,0,0,package://newtwo/meshes/R1_4.STL,,简化单腿-18/qiu1-1,坐标系25,,R1_4J,fixed,-0.003,-0.196,0,0,0,0,R1_3,0,0,0,,,,,,,,,,,,
L2_1,-0.00053881,2.4369E-08,-0.033509,0,0,0,0.050791,5.4974E-05,-5.5372E-12,-1.008E-10,4.3007E-05,-7.5262E-11,5.3019E-05,0,0,0,0,0,0,package://newtwo/meshes/L2_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://newtwo/meshes/L2_1.STL,,简化单腿 - 副本-1/简化L1-1;简化单腿 - 副本-1/简化L2-2,坐标系9,基准轴7,L2_1J,revolute,0,0.065,-0.02125,0,0,0,base_link,0,0,-1,100,3,-3,3,,,,,,,,
